"rs","effect","Site","country","in_lab","Ntotal","B_or_W","design","or_stat_test","effect_type","effect_size","ncontrol","ntreatment","outcomes1_2","outcome_c1","outcome_t1","outcome_c2","outcome_t2"
"ML1","Sunk Costs","abington","USA",1,"84","Between","control vs. treatment","Independent samples t-test","d","0.572529229442946",48,36,"mean _ SD",7,8.27777777777778,2.86579237863576,1.3225756497102
"ML1","Sunk Costs","brasilia","BRA",1,"120","Between","control vs. treatment","Independent samples t-test","d","0.235853371616288",55,65,"mean _ SD",7.25454545454545,7.83076923076923,2.65426408729762,2.2119648418405
"ML1","Sunk Costs","charles","CZE",1,"84","Between","control vs. treatment","Independent samples t-test","d","0.480861601163547",49,35,"mean _ SD",6.79591836734694,7.8,2.406411503989,1.71155244287339
"ML1","Sunk Costs","conncoll","USA",1,"95","Between","control vs. treatment","Independent samples t-test","d","0.401215926977269",45,50,"mean _ SD",7.53333333333333,8.22,2.06265495285699,1.26636229783887
"ML1","Sunk Costs","csun","USA",0,"96","Between","control vs. treatment","Independent samples t-test","d","0.521966144288116",46,50,"mean _ SD",7.45652173913043,8.34,2.00783489515039,1.3032142367772
"ML1","Sunk Costs","help","MYS",1,"102","Between","control vs. treatment","Independent samples t-test","d","-0.062575691425059",44,58,"mean _ SD",7.86363636363636,7.74137931034483,1.62238568366277,2.23654138400599
"ML1","Sunk Costs","ithaca","USA",1,"90","Between","control vs. treatment","Independent samples t-test","d","0.236920105759994",55,35,"mean _ SD",7.98181818181818,8.34285714285714,1.62720971230246,1.41302464786082
"ML1","Sunk Costs","jmu","USA",0,"174","Between","control vs. treatment","Independent samples t-test","d","0.577944682826309",93,81,"mean _ SD",7.48387096774194,8.50617283950617,2.21463954877443,1.16322242918244
"ML1","Sunk Costs","ku","TUR",0,"113","Between","control vs. treatment","Independent samples t-test","d","0.500380962373074",61,52,"mean _ SD",6.55737704918033,7.71153846153846,2.7296189609781,1.78596421435657
"ML1","Sunk Costs","laurier","CAN",1,"112","Between","control vs. treatment","Independent samples t-test","d","0.449693990402699",57,55,"mean _ SD",7.57894736842105,8.36363636363636,2.21155543534613,1.09483021453246
"ML1","Sunk Costs","lse","GBR",1,"276","Between","control vs. treatment","Independent samples t-test","d","0.407394222355169",121,155,"mean _ SD",7.44628099173554,8.20645161290323,2.03695202538474,1.67757080944306
"ML1","Sunk Costs","luc","USA",1,"146","Between","control vs. treatment","Independent samples t-test","d","0.271423402857235",72,74,"mean _ SD",7.65277777777778,8.14864864864865,1.95123451151722,1.69352054828511
"ML1","Sunk Costs","mcdaniel","USA",0,"97","Between","control vs. treatment","Independent samples t-test","d","0.149634624494122",46,51,"mean _ SD",7.8695652173913,8.11764705882353,1.69454937506733,1.6204574517528
"ML1","Sunk Costs","msvu","CAN",1,"85","Between","control vs. treatment","Independent samples t-test","d","0.334251583918443",45,40,"mean _ SD",7.37777777777778,8.1,2.36728545047707,1.93218356615859
"ML1","Sunk Costs","mturk","USA",0,"999","Between","control vs. treatment","Independent samples t-test","d","0.305151570019973",477,522,"mean _ SD",6.51991614255765,7.30459770114942,2.75050064069539,2.37895804766446
"ML1","Sunk Costs","osu","USA",1,"107","Between","control vs. treatment","Independent samples t-test","d","0.466142760762426",60,47,"mean _ SD",6.81666666666667,7.78723404255319,2.41809328629872,1.68027133177387
"ML1","Sunk Costs","oxy","USA",1,"122","Between","control vs. treatment","Independent samples t-test","d","0.693306754706557",66,56,"mean _ SD",6.87878787878788,8.375,2.6048189159866,1.59045448050092
"ML1","Sunk Costs","pi","USA",0,"1323","Between","control vs. treatment","Independent samples t-test","d","0.183659998685749",640,683,"mean _ SD",6.8953125,7.37481698389458,2.75157827451491,2.4620422977358
"ML1","Sunk Costs","psu","USA",1,"95","Between","control vs. treatment","Independent samples t-test","d","0.151781314380958",47,48,"mean _ SD",8.06382978723404,8.3125,1.78647400252624,1.47541916150213
"ML1","Sunk Costs","qccuny","USA",1,"102","Between","control vs. treatment","Independent samples t-test","d","-0.08148733929059",49,53,"mean _ SD",7.75510204081633,7.58490566037736,1.85439356939245,2.29911322590782
"ML1","Sunk Costs","qccuny2","USA",1,"86","Between","control vs. treatment","Independent samples t-test","d","0.141311088540304",45,41,"mean _ SD",7.37777777777778,7.73170731707317,2.58746004702478,2.41892941447144
"ML1","Sunk Costs","sdsu","USA",1,"162","Between","control vs. treatment","Independent samples t-test","d","0.271909717192934",74,88,"mean _ SD",8.16216216216216,8.53409090909091,1.63880199333025,1.02776248023484
"ML1","Sunk Costs","swps","POL",1,"79","Between","control vs. treatment","Independent samples t-test","d","-0.067273432147973",39,40,"mean _ SD",8.25641025641026,8.15,1.61763226446864,1.54504999504207
"ML1","Sunk Costs","swpson","POL",0,"168","Between","control vs. treatment","Independent samples t-test","d","0.12323910177108",78,90,"mean _ SD",7.64102564102564,7.88888888888889,1.94050708980095,2.07956588190385
"ML1","Sunk Costs","tamu","USA",1,"187","Between","control vs. treatment","Independent samples t-test","d","0.348856605935119",93,94,"mean _ SD",7.89247311827957,8.46808510638298,2.01333794648825,1.17959467851557
"ML1","Sunk Costs","tamuc","USA",1,"87","Between","control vs. treatment","Independent samples t-test","d","0.37859325287992",40,47,"mean _ SD",6.6,7.53191489361702,2.39443799947573,2.52682188967973
